RELATIVE_TIME_SEC,YIELD,DATE
3176,196.24412698412698,2020-05-23
3180,267.2060317460318,2020-05-23
3184,346.1640740740741,2020-05-23
3188,424.7928571428572,2020-05-23
3192,506.64666666666665,2020-05-23
3196,586.2750264550264,2020-05-23
3200,661.3052645502646,2020-05-23
3204,734.2257671957673,2020-05-23
3208,798.3493650793649,2020-05-23
3212,847.5911111111111,2020-05-23
3216,733.0571164021163,2020-05-23
3220,690.2399999999999,2020-05-23
3224,721.9296296296296,2020-05-23
3228,720.2720105820105,2020-05-23
3232,705.8140740740741,2020-05-23
3236,678.46,2020-05-23
3240,693.7698941798941,2020-05-23
3244,707.3640740740741,2020-05-23
3248,713.7450264550264,2020-05-23
3252,715.461851851852,2020-05-23
3256,711.8431481481481,2020-05-23
3260,707.0928835978837,2020-05-23
3264,742.6525925925924,2020-05-23
3268,742.2280687830687,2020-05-23
3272,681.2233333333334,2020-05-23
3276,759.9440740740743,2020-05-23
3280,784.8783068783067,2020-05-23
3284,765.9588888888889,2020-05-23
3288,709.5525925925926,2020-05-23
3292,738.5872486772487,2020-05-23
3296,798.5785978835979,2020-05-23
3300,834.152380952381,2020-05-23
3304,861.7096296296297,2020-05-23
3308,806.8670370370369,2020-05-23
3312,752.3137037037036,2020-05-23
3316,691.9638095238095,2020-05-23
3320,609.5882275132276,2020-05-23
3324,544.0528042328043,2020-05-23
3328,475.60555555555555,2020-05-23
3332,413.67703703703705,2020-05-23
3336,333.8158730158729,2020-05-23
3340,256.8819841269841,2020-05-23
3344,185.34013227513228,2020-05-23
3348,124.93113756613758,2020-05-23
3352,75.67592592592594,2020-05-23
3356,33.38034391534391,2020-05-23
3360,3.1684920634920637,2020-05-23
3364,0.0,2020-05-23
3368,0.0,2020-05-23
3372,0.0,2020-05-23
3376,0.0,2020-05-23
3380,0.0,2020-05-23
3384,0.0,2020-05-23
3388,0.0,2020-05-23
3392,0.0,2020-05-23
3396,0.0,2020-05-23
3400,0.0,2020-05-23
3404,0.0,2020-05-23
3408,0.0,2020-05-23
3412,0.0,2020-05-23
3416,0.0,2020-05-23
3420,0.0,2020-05-23
3424,0.0,2020-05-23
3428,0.0,2020-05-23
3432,0.0,2020-05-23
3436,0.0,2020-05-23
3440,0.0,2020-05-23
3444,0.0,2020-05-23
3448,0.0,2020-05-24
3452,0.0,2020-05-24
3456,0.0,2020-05-24
3460,0.0,2020-05-24
3464,0.0,2020-05-24
3468,0.0,2020-05-24
3472,0.0,2020-05-24
3476,0.0,2020-05-24
3480,0.0,2020-05-24
3484,0.0,2020-05-24
3488,0.0,2020-05-24
3492,0.0,2020-05-24
3496,0.0,2020-05-24
3500,0.0,2020-05-24
3504,0.0,2020-05-24
3508,0.0,2020-05-24
3512,0.0,2020-05-24
3516,0.0,2020-05-24
3520,0.0,2020-05-24
3524,0.0,2020-05-24
3528,0.0,2020-05-24
